review_id,author,author_url,rating,text,date,date_relative,language,helpful_count,response_text,response_date,page_number
ChZDSUhNMG9nS0VOcmd5ZDJ0Ny1pLVVnEAE,,https://www.google.com/maps/contrib/106507862341377746503/reviews?hl=th,5,,,Unknown Date,,0,,,3
Ci9DQUlRQUNvZENodHljRjlvT2xoNmRYQXdXRWxrUTBWdFdIWlZXbmsxYVZoeFdWRRAB,,https://www.google.com/maps/contrib/100374110861782992900/reviews?hl=th,5,,,Unknown Date,,0,,,3
ChZDSUhNMG9nS0VJQ0FnSUM5enVyUmNBEAE,,https://www.google.com/maps/contrib/112294205250499691978/reviews?hl=th,5,,,ปีที่แล้ว,,0,,,3
ChdDSUhNMG9nS0VOR1d2S0hWeE9QZDBBRRAB,,https://www.google.com/maps/contrib/110580129465435832707/reviews?hl=th,5,,,5 เดือนที่แล้ว,,0,,,4
ChZDSUhNMG9nS0VJQ0FnSUNUNW91Z1FnEAE,,https://www.google.com/maps/contrib/111148372297811201660/reviews?hl=th,5,,,ปีที่แล้ว,,0,,,4
ChdDSUhNMG9nS0VJQ0FnSURmNXUzN3lnRRAB,,https://www.google.com/maps/contrib/117785484473242232759/reviews?hl=th,5,,,10 เดือนที่แล้ว,,0,,,4
ChZDSUhNMG9nS0VNV3RtY0dQdzhPOWF3EAE,,https://www.google.com/maps/contrib/101790078808518644280/reviews?hl=th,5,,,5 เดือนที่แล้ว,,0,,,4
ChZDSUhNMG9nS0VJQ0FnTUR3amQzemFBEAE,,https://www.google.com/maps/contrib/110766595361314632105/reviews?hl=th,5,,,7 เดือนที่แล้ว,,0,,,4
ChdDSUhNMG9nS0VJQ0FnTUNZc00tRS1RRRAB,,https://www.google.com/maps/contrib/105313236228840592701/reviews?hl=th,4,,,6 เดือนที่แล้ว,,0,,,4
ChdDSUhNMG9nS0VOLS0xLW5ibXVXSWtnRRAB,,https://www.google.com/maps/contrib/114403421559074752528/reviews?hl=th,5,,,5 เดือนที่แล้ว,,0,,,4
